,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
61,0.711,0.0582,106.43,0.217,0.234,0.0,5,0.543,3,270460,-4.511,0.638,0,audio_features,spotify:track:0fwQlhRlZfXd71hi3zhZ3w
62,0.386,0.119,107.756,0.426,0.226,0.0,5,0.538,6,310152,-14.142,0.381,0,audio_features,spotify:track:0bdeLFRIziXGqXdz5UJDb0
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,4,0.193,7,366667,-7.725,0.176,1,audio_features,spotify:track:1J2uuMm8SyGEI8uPRTBc5v
64,0.721,0.119,130.699,0.0443,0.154,0.000203,4,0.389,9,308240,-7.256,0.749,0,audio_features,spotify:track:13jO52N4hQGFXe4XYKnDRZ
65,0.599,0.201,112.657,0.0332,0.308,0.000333,3,0.393,9,486773,-7.337,0.344,1,audio_features,spotify:track:3BF9J3DjZuNKcfiAwkTsWK
66,0.915,0.129,91.023,0.255,0.044,0.0,4,0.675,10,288123,-4.121,0.758,0,audio_features,spotify:track:6OJpNvSIXdLw62a6vp7rie
67,0.62,0.067,136.062,0.256,0.0709,0.0,4,0.778,11,287907,-6.937,0.361,0,audio_features,spotify:track:2yVGgYMwdNIcEdEiUzFUYc
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,1,0.264,2,305760,-6.195,0.21,0,audio_features,spotify:track:2GTX1cCoHvnnswgVtOUplb
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,4,0.374,7,235960,-7.694,0.362,1,audio_features,spotify:track:07W9HcJyjXPnKQSMbUcWZU
70,0.622,0.275,126.558,0.039,0.0566,0.0212,4,0.342,6,448333,-6.645,0.547,0,audio_features,spotify:track:34RISamoO5iubsOanSlpQo
71,0.794,0.33,148.174,0.0307,0.0614,0.0367,4,0.733,5,348624,-10.023,0.931,1,audio_features,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj
72,0.609,0.111,175.924,0.507,0.101,0.0,4,0.679,9,186136,-7.751,0.524,1,audio_features,spotify:track:4mXpIRbYgIz03EZ1hGOBbx
73,0.821,0.377,102.965,0.19,0.0964,0.0,4,0.656,1,286276,-7.071,0.807,1,audio_features,spotify:track:0kgrbr4t69ThRLKG98lU3v
74,0.712,0.0463,169.944,0.263,0.0543,0.0,4,0.699,1,515294,-6.17,0.555,1,audio_features,spotify:track:0A6rU3K1SXKu28gdQ02mmd
