,name,album,artist,release_date,duration,popularity,id
199,Tanz für mich,Wir bauten uns Amerika,Provinz,2020-07-17,209986,58,6tW9IfjsF6D1YdJkIE7AQl
200,Nostalgia,Nostalgia,Kacper HTA,2021-04-06,232329,35,6slxPaEM1yNZsZ7clD6tIW
201,Selbstlos,Mama,MoTrip,2015-06-19,237868,35,5sUXgmCMa0OboFW0xmxFzH
202,Biały Lew,Biały Lew,Sarius,2021-04-06,182857,26,62zyHkZ3ZV3kkbUdYgVFvK
203,Drapacze chmur,Drapacze chmur,Intruz,2021-04-02,172023,13,7b5Q9wqI99ulpRjBHgR9bZ
204,Adios,Fight Club,PRO8L3M,2021-03-30,212013,39,6HFVoNXErW7mM9P9sfunYh
205,Hymne gegen euch,Hymne gegen euch,Provinz,2021-02-16,178668,31,5eodOuMG2p2SfH87betM3X
206,Suga Suga,2016 - 2018,Népal,2019-08-23,224893,61,1kY2dTf9Tpa8QRHlAJeRYd
207,Bevor ich geh,Mama,MoTrip,2015-06-19,209655,30,5nStQfmz4X56SGYQZ1JQSk
208,Zombie,Fight Club,PRO8L3M,2021-03-30,211146,40,3kTbV66UqiZZ9xcTQuadjU
209,NASCAR,Fight Club,PRO8L3M,2021-03-30,162786,46,6GbhNUh4u0d5RDu5jtMdyH
210,Diego Maradona,Wir bauten uns Amerika,Provinz,2020-07-17,178267,30,0rc3zXYH31NzCaJMAzi7va
211,Rany,Rany,Sliwa,2021-04-20,221860,18,3jTSkjeyBWlaH0ZZIyL4Y3
212,Diabeł,Wyszczekany,Dedis,2020-09-18,247269,46,2iAxV6os00MV8g4Dw3Capw
213,THANK GOD,WELCOME TO THE JUNGLE (Deluxe),Rilès,2019-08-30,210236,61,1o6JHLSAtNsIj8AgAvDxXX
214,Grauer Beton,#DIY,Trettmann,2017-09-29,237455,52,2gaHAv8a7eDlsZra2g2J1l
215,Swimmingpoolaugen,Swimmingpoolaugen,Maeckes,2021-04-01,255346,0,7dUS9BQuTLt67grfmxxKDN
216,Diagnoza,Życie Po Śmierci,O.S.T.R.,2016-03-25,244931,34,5a2V37EXVyXVP9LnkxBOdK
217,Bardzo długi list,BIS,KęKę,2021-05-07,229480,27,2eCSNerlTYETOQHYMVvRpt
218,Helikopter,Kodakrom,Shellerini,2021-04-30,256551,8,2D0Qb8A8D1lZXu6JxZ7WJ6
